cell_FRET,resting_FRET,peak_FRET,FRET_drop,mitosis_frame,peak_index,mitosis_FRET,zn_spike,table_conditions
4.34384097950212,4.46840042201533,4.45958729732273,-0.0643729661463501,32,1.4,4.14539396325865,-0.0088131246926002,ZD2
4.38261880433805,4.46840042201533,4.46025752429102,-0.0275982433559001,32,1,4.14539396325865,-0.0081428977243112,ZD2
4.38261880433805,4.4449425297607,4.46025752429102,NaN,37,0,4.46025752429102,0.0153149945303204,ZD2
3.95960098590349,3.87083653081297,4.20316293586449,-0.0647275181499758,30,0.8,4.027589458387,0.332326405051521,ZD2
3.95094670999571,3.87083653081297,4.1634577919788,-0.0481008669976668,30,0.8,4.027589458387,0.292621261165829,ZD2
4.09875285686341,4.03140447984479,4.23709362335892,-0.0443205490778169,45,1,4.06389544544522,0.20568914351413,ZD2
4.03703409257226,4.03140447984479,4.23851339185953,-0.0427422859846169,45,0.8,4.06389544544522,0.207108912014741,ZD2
4.22467220233486,4.04403165934993,4.50268057357053,-0.0710392761463146,48,0.4,4.23334745256481,0.458648914220602,ZD2
4.44912000269391,4.04403165934993,4.33764627511677,-0.141067940142623,48,1.8,4.23334745256481,0.293614615766846,ZD2
4.25356357466966,4.39783607467013,4.41671767605401,-0.056309806284796,42,1,4.14432489013787,0.0188816013838817,ZD2
4.47392154645314,4.39783607467013,4.53324667250486,-0.121600209760753,42,1.2,4.14432489013787,0.135410597834729,ZD2
4.26137846862539,4.07118911344365,4.27020492647419,-0.0688259179685433,42,0.8,4.11187696005076,0.199015813030537,ZD2
4.30881892595962,4.07118911344365,4.19498809258877,-0.0343475750610489,42,0.8,4.11187696005076,0.123798979145121,ZD2
4.28813553719013,4.16216614561624,4.4044477778013,-0.0518928583863847,36,1,4.15059097533931,0.24228163218506,ZD2
4.22696957862152,4.16216614561624,4.37143935950085,-0.0559799519759481,36,0.8,4.15059097533931,0.209273213884608,ZD2
4.36805668764994,4.20667051434544,4.24183961253303,-0.0822100636270457,53,0.4,4.23676307007786,0.0351690981875921,ZD2
4.19432091818459,4.20667051434544,4.39813343089799,-0.119042894643911,53,0.6,4.23676307007786,0.191462916552545,ZD2
4.30374804536705,4.70564438350493,4.59954599330939,-0.102039277788043,24,1.4,4.14194789464935,-0.106098390195543,ZD2
4.4764471301441,4.70564438350493,4.80467087587963,-0.113127068024986,24,1.8,4.14194789464935,0.0990264923747013,ZD2
4.03914316716758,4.22855629319874,4.36968305051926,-0.117319597422992,95,0.8,4.23846181595181,0.141126757320524,ZD2
4.03851091543525,4.22855629319874,4.3300213215732,-0.054913118660453,95,0.8,4.23846181595181,0.101465028374458,ZD2
3.94177598918264,4.14544988870737,4.18977686234123,-0.113290892312063,33,0,4.18977686234123,0.0443269736338596,ZD2
3.96615451462578,4.14544988870737,4.25890971371789,-0.0709035759256125,33,0.8,4.18977686234123,0.113459825010525,ZD2
3.90347891914692,NaN,4.28883760223473,-0.0568409373771623,35,0.2,4.23991435106331,NaN,ZD2
3.88470273444654,NaN,4.36309082636106,-0.117293762821154,35,0.2,4.23991435106331,NaN,ZD2
4.15447103947851,4.12328961187515,4.41630469599551,-0.0556528596458463,73,1,3.96181262729124,0.293015084120364,ZD2
4.17691260177903,4.12328961187515,4.37638281831897,-0.047774090774686,73,1,3.96181262729124,0.25309320644382,ZD2
4.07603567921473,4.01572505712793,4.20016696923923,-0.0246918494728012,48,1,3.92303505367215,0.184441912111303,ZD2
4.05598920029411,4.01572505712793,4.2244443315178,-0.027289637856974,48,0.8,3.92303505367215,0.208719274389865,ZD2
4.25213530421624,4.31566121513387,4.45581894672977,-0.0575588405509269,37,1,4.26201632474571,0.1401577315959,ZD2
4.24483402363724,4.31566121513387,4.44700749084141,-0.042104857453813,37,0.8,4.26201632474571,0.131346275707541,ZD2
3.9857677944014,4.16663829606842,4.49191546129427,-0.0983289271600021,104,0.2,4.31607844134057,0.32527716522585,ZD2
3.97750496278183,4.16663829606842,4.31607844134057,-0.1362754479432,104,0,4.31607844134057,0.149440145272151,ZD2
4.05704092129453,4.1095778104254,4.30385379342892,-0.0550913446374439,59,0.8,4.1546361285556,0.194275983003513,ZD2
4.04753438924812,4.1095778104254,4.25447536272517,-0.0476703380015611,59,0.2,4.1546361285556,0.144897552299767,ZD2
3.9529151526214,3.92507071838443,4.25483747254408,-0.201152963226724,88,0,4.25483747254408,0.329766754159643,ZD2
3.97821635577952,3.92507071838443,4.26071925048085,-0.193000469282231,88,1,4.25483747254408,0.33564853209642,ZD2
4.16080377231259,4.19292168400863,4.40059678233383,-0.0323883402292342,31,0.2,4.26530809167204,0.207675098325196,ZD2
4.12048896040826,4.19292168400863,4.36311303016253,-0.0301025529322212,31,0.4,4.26530809167204,0.170191346153897,ZD2
3.91213826536365,NaN,4.23908857509628,-0.0658556352514545,56,0.2,4.15173424831725,NaN,ZD2
3.97971488273062,NaN,4.26289128654006,-0.0560627065380546,56,0.8,4.15173424831725,NaN,ZD2
4.09185771284607,3.90535821270216,4.20824978074462,-0.0686041633775192,28,0.8,3.86253264216393,0.302891568042456,ZD2
4.01578022084225,3.90535821270216,4.11983094717801,-0.0706493679759688,28,0.8,3.86253264216393,0.214472734475853,ZD2
4.5141604525753,4.41182941561957,4.84939777153744,-0.0705336877252556,60,1.2,4.34485561213488,0.437568355917866,ZD2
4.62162956481941,4.41182941561957,4.62752183410056,-0.0294596442118937,60,1,4.34485561213488,0.215692418480982,ZD2
3.90372594133305,3.99822277486664,4.47989842242836,-0.0735090111943126,39,0.4,4.28966937002278,0.481675647561724,ZD2
